1158	S. Fischer Verlag	1908	Berlin	NaN	Fontane, Theodor	'L'' Adultera'	Roman
1159	S. Fischer Verlag	1908	Berlin	NaN	Bernstein, Elsa	Maria Arndt	Schauspiel in 5 Akten
1160	S. Fischer Verlag	1908	Berlin	NaN	Bernstein, Elsa	Maria Arndt	Schauspiel in 5 Akten
1161	S. Fischer Verlag	1908	Berlin	NaN	Kassner, Rudolf	Melancholia	Eine Trilogie des Geistes
1162	S. Fischer Verlag	1908	Berlin	NaN	Asch, Sholem	Sabbatai Zwei	Tragödie in 3 Akten (6 Bildern) mit e. Vorspiel u. e. Nachspiel
1163	S. Fischer Verlag	1908	Berlin	NaN	Salten, Felix	Vom anderen Ufer	NaN
1132	S. Fischer Verlag	1909	Berlin	NaN	Keyserling, Eduard von	Beate und Mareile	eine Schloßgeschichte
1133	S. Fischer Verlag	1909	Berlin	NaN	Geijerstam, Gustaf af	Das ewige Rätsel	Roman
1134	S. Fischer Verlag	1909	Berlin	NaN	Bang, Herman	Das graue Haus	NaN
1135	S. Fischer Verlag	1909	Berlin	3. Aufl.	Kerr, Alfred	Das neue Drama	NaN
1137	S. Fischer Verlag	1909	Berlin	NaN	Mann, Thomas	Der kleine Herr Friedmann und andere Novellen	NaN
1138	S. Fischer Verlag	1909	Berlin	2. Ausg. (5. Aufl.)	Hofmannsthal, Hugo von	Die Frau im Fenster	ein Gedicht
1140	S. Fischer Verlag	1909	Berlin	NaN	Bang, Herman	Hoffnungslose Geschlechter	Roman
1142	S. Fischer Verlag	1909	Berlin	2. Aufl.	Mann, Thomas	Königliche Hoheit	Roman
1143	S. Fischer Verlag	1909	Berlin	NaN	'D''Annunzio, Gabriele'	Lust	NaN
1144	S. Fischer Verlag	1909	Berlin	NaN	Knoeckel, Charlotte	Maria Baumann	Roman
1145	S. Fischer Verlag	1909	Berlin	NaN	Demling, Anni	Oriol Heinrichs Frau	Roman
1147	S. Fischer Verlag	1909	Berlin	NaN	Land, Hans	Stürme	Ein Liebesroman
1148	S. Fischer Verlag	1909	Berlin	NaN	Geijerstam, Gustaf af	Thora	Roman
1149	S. Fischer Verlag	1909	Berlin	NaN	Hesse, Hermann	Unterm Rad	Roman
1105	S. Fischer Verlag	1910	Berlin	NaN	Bernstein, Elsa	Achill	Tragödie in 3 Akten
1106	S. Fischer Verlag	1910	Berlin	Erstausgabe Wilpert-Gühring 577, 34	Hofmannsthal, Hugo von	Christinas Heimreis	Komödie
1107	S. Fischer Verlag	1910	Berlin	Neue veränd. Ausg.	Hofmannsthal, Hugo von	Christinas Heimreise	NaN
1108	S. Fischer Verlag	1910	Berlin	Neue veränd. Aufl.	Hofmannsthal, Hugo von	Christinas Heimreise	Komödie
1109	S. Fischer Verlag	1910	Berlin	NaN	Strauss, Emil	Der Engelwirt	eine Schwabengeschichte
1110	S. Fischer Verlag	1910	Berlin	NaN	Roda Roda, Alexander	Der Feldherrnhügel	Eine Schnurre in 3 Akten
1111	S. Fischer Verlag	1910	Berlin	NaN	Reinmann, Ernst	Der General Bonaparte	ein Schauspiel
1112	S. Fischer Verlag	1910	Berlin	NaN	Schnitzler, Arthur	Der junge Medardus	Dramat. Historie in e. Vorspiel u. 5 Aufz.
1113	S. Fischer Verlag	1910	Berlin	NaN	Schnitzler, Arthur	Der tapfere Cassian	Puppenspiel in e. Akt.
1114	S. Fischer Verlag	1910	Berlin	NaN	Hozhevar, Johannes	Der Zerstörer	Eine Tragödie in 3 Aufz.
1115	S. Fischer Verlag	1910	Berlin	NaN	Waldstetter, Ruth	Die Wahl	Roman
1117	S. Fischer Verlag	1910	Berlin	NaN	Reuter, Gabriele	Frauenseelen	Novellen
1118	S. Fischer Verlag	1910	Berlin	NaN	Fontane, Theodor	Irrungen, Wirrungen	Berliner Roman
1119	S. Fischer Verlag	1910	Berlin	NaN	Nansen, Peter	Julies Tagebuch	Roman
1120	S. Fischer Verlag	1910	Berlin	NaN	Ibsen, Henrik	Kaiser und Galiläer	ein weltgeschichtl. Schauspiel in 2 Teilen
1121	S. Fischer Verlag	1910	Berlin	NaN	Ibsen, Henrik	Klein Eyolf	Schauspiel in 3 Akten
1122	S. Fischer Verlag	1910	Berlin	NaN	Humperdinck, Engelbert	Königskinder	Musikmärchen in 3 Bildern
1123	S. Fischer Verlag	1910	Berlin	NaN	Ibsen, Henrik	Komödie der Liebe	Komödie in 3 Akten
1124	S. Fischer Verlag	1910	Berlin	NaN	Kyser, Hans	Medusa	Tragödie in 5 Akten
1126	S. Fischer Verlag	1910	Berlin	NaN	Salten, Felix	Olga Frohgemuth	Erz.
1127	S. Fischer Verlag	1910	Berlin	NaN	Bojer, Johan	Unser Reich	Roman
1128	S. Fischer Verlag	1910	Berlin	7. Aufl.	Bjørnson, Bjørnstjerne	Wenn der junge Wein blüht	Lustspiel
1076	S. Fischer Verlag	1911	Berlin	NaN	Lie, Jonas	Auf Irrwegen	Roman
1077	S. Fischer Verlag	1911	Berlin	NaN	Hollaender, Felix	Das letzte Glück	Roman
1079	S. Fischer Verlag	1911	Berlin	NaN	Bahr, Hermann	Das Tänzchen	Lustspiel in 3 Akten
1080	S. Fischer Verlag	1911	Berlin	NaN	Schnitzler, Arthur	Das weite Land	Tragikomödie in 5 Akten
1081	S. Fischer Verlag	1911	Berlin	NaN	Heimann, Moritz	Der Feind und der Bruder	Eine Tragödie in 4 Akten
1082	S. Fischer Verlag	1911	Berlin	NaN	Wassermann, Jakob	Der niegeküßte Mund	Drei Erzählgn
1083	S. Fischer Verlag	1911	Berlin	NaN	Kaiser, Georg	Die jüdische Witwe	Bibl. Komödie
1084	S. Fischer Verlag	1911	Berlin	NaN	Kaiser, Georg	Die jüdische Witwe	Bibl. Komödie
1086	S. Fischer Verlag	1911	Berlin	NaN	Bahr, Hermann	Die Kinder	Komödie
1087	S. Fischer Verlag	1911	Berlin	NaN	Hauptmann, Gerhart	Die Ratten	Berliner Tragikomödie
1088	S. Fischer Verlag	1911	Berlin	NaN	Hauptmann, Gerhart	Die Ratten	Berliner Tragikomödie
1090	S. Fischer Verlag	1911	Berlin	NaN	Trebitsch, Siegfried	Ein Muttersohn	Schauspiel in 3 Akten
1091	S. Fischer Verlag	1911	Berlin	NaN	Fontane, Theodor	Frau Jenny Treibel	Roman aus d. Berliner Ges.
1092	S. Fischer Verlag	1911	Berlin	NaN	Strauss, Emil	Kreuzungen	Roman
1093	S. Fischer Verlag	1911	Berlin	NaN	Strauss, Emil	Kreuzungen	Roman
